,address,lat,long
136,강화읍 충렬사로 31,37.7360483,126.4859916
137,계양구 장제로 722,37.5322162,126.7343174
138,계양구 계양문화로 20,37.5324735,126.7368717
139,인천시 계양구 계산새로 88,37.5374147,126.7377757
140,인천시 남동구 소래로 633,37.447342,126.731488
141,동구 샛골로 214,37.4817037,126.6458376
142,동구 석수로 90,37.483064,126.6259367
143,미추홀구 독배로 503,37.461611,126.6430071
144,인천시 미추홀구 주안서로 25,37.4610996,126.677424
145,미추홀구 미추홀대로 726,37.462204,126.6807094
146,부평구 동수로 56,37.4848309,126.7248987
147,부평구 부평대로 175,37.506872,126.7199858
148,부평구 무네미로 446,37.4767018,126.7536333
149,인천시 부평구 부흥로 291,37.498848,126.724266
150,서구 심곡로 100번길 25,37.5424165,126.6836103
151,서구 원적로 23,37.4891168,126.6797423
152,서구 신석로 70,37.509774,126.669941
153,서구 청마로 19번길 5,37.5924931,126.6710215
154,서구 완정로 199,37.6027927,126.6543363
155,인천시 서구 탁옥로 39,37.5444694,126.6738964
156,연수구 먼우금로 98,37.407958,126.6704928
157,인천시 연수구 함박뫼로 13,37.4187832,126.6709805
158,인천시 연수구 원인재로 263,37.4185425,126.68922
159,인천시 미추홀구 매소홀로 120,37.446607,126.63676
160,옹진군 백령면 백령로 233,37.968009,124.7210341
161,중구 답동로 30번길 10,37.471217,126.6321078
162,인천시 중구 참외전로72번길 21,37.4772018,126.6291055
163,인천시 중구 마시란로 308-1,,
164,인천시 중구 운남서로 100-1,37.493633,126.5309955
165,광주광역시 광산구 광산로29번길 15 (송정동),35.139524,126.793688
166,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),35.221087,126.8453352
167,광주광역시 광산구 왕버들로220,35.1979466,126.8331733
168,광주광역시 남구 양림로 37 (양림동),35.136665,126.911875
169,"광주광역시 남구 봉선로 1 (주월동, 남구청)",35.1330039,126.902402
170,광주광역시 동구 서남로 1 (서석동),35.145999,126.923312
171,광주광역시 북구 양일로 309 (일곡동),35.2028627,126.8975955
172,광주광역시 북구 우치로 65 (중흥동),35.173339,126.9121293
173,광주광역시 서구 금화로59번길 6 (금호동),35.1325855,126.8556725
174,광주광역시 서구 경열로 33 (농성동),35.151969,126.890272
175, 대전광역시 대덕구 석봉로 38길 55,36.447161,127.4264925
176,"대전광역시 대덕구 대청로82번길 147 (신탄진동,147)",36.4473943,127.4395922
177,대덕구 계족로 637,36.3683976,127.4285488
178,대전광역시 동구 동구청로147(가오동),36.312169,127.454884
179,대전광역시 동구 동서대로 1672 ,36.3482369,127.4358
180, 대전광역시 서구 만년로74,36.3671297,127.3810731
181,"대전광역시 서구 관저동로 158 (관저동,(관저동))",36.306642,127.342613
182,"대전광역시 서구 둔산서로 95 (둔산동,(둔산동))",36.3552891,127.3819903
183,대전광역시 유성구 유성대로730번길51,36.3580842,127.3354295
184,"대전광역시 유성구 북유성대로 93 (지족동,(지족동))",36.3751715,127.3249507
185,대전광역시 중구 산성로 63,36.308007,127.395071
186,"대전광역시 중구 목중로 29 (목동,(목동))",36.3360669,127.4104139
187,"대전광역시 중구 대흥로 64 (대흥동,(대흥동))",36.323042,127.420163
188,울산광역시 남구 월평로171번길 13 (신정동),35.5462649,129.3231103
189,울산광역시 남구 북부순환도로 51 (무거동),35.5528955,129.2688243
190,울산광역시 남구 문수로480번길 10 (신정동),35.5315447,129.3051863
191,"울산광역시 남구 삼산중로 132 (삼산동, 울산남구보건소)",35.5453576,129.3363284
192,울산광역시 동구 봉수로 155 (화정동),35.504844,129.416632
193,울산광역시 북구 산업로 1007 (연암동),35.5828166,129.3590177
194,울산광역시 북구 산업로 1018 (연암동),35.5835549,129.3607106
195,울산광역시 울주군 삼남면 중평로 53,35.5600045,129.1207349
196,울산광역시 울주군 삼남면 서향교1길 67-12,35.5583526,129.1137538
197,울주군 온양읍 터실1길 13,35.4552757,129.2908945
198,울산광역시 중구 태화로 239 (태화동),35.5534869,129.3020575
199,울산광역시 중구 외솔큰길 225 (남외동),35.5694504,129.3503812
200,세종특별자치시 조치원읍 건강길 16,36.6057132,127.2964967
201,세종특별자치시 가름로 238-1,36.4951837,127.2659995
202,경기도 가평군 가평읍 가화로 155-18,37.8335133,127.5105549
203,경기도 가평군 설악면 미사리로 267-177,37.6911585,127.5213618
204,경기도 고양시 덕양구 원당로33번길 28 (주교동),37.6578412,126.8310687
205,"경기도 고양시 일산동구 중앙로 1228 (마두동,KT고양지사 일산동구보건소)",37.6560223,126.7760886
206,고양시 일산서구 주화로 170,37.6743138,126.7504331
207,고양시 일산동구 동국로 27(식사동),37.6763969,126.8064233
208,경기도 고양시 일산동구 일산로 100,37.6454754,126.7930401
209,경기도 고양시 일산동구 고양대로760,37.6819744,126.7800452
210,경기도 과천시 관문로69,37.4292013,126.987675
211,"경기도 광명시 디지털로 36 (철산동, 광명성애병원)",37.4736659,126.8713502
212,"경기도 광명시 오리로 613 (하안동, 광명시보건소)",37.4557972,126.8784821
213,경기도 광주시 파발로 194,37.4164094,127.2507319
214,경기도 광주시 광주대로 45,37.4109444,127.2602408
215,"경기도 구리시 건원대로34번길 84 (인창동, 구리보건소)",37.6046827,127.1450876
216,경기도 구리시 경춘로 153 (교문동),37.6012985,127.1324273
217,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",37.358672,126.9473164
218,경기도 군포시 산본로 321 (산본동),37.3594127,126.9336147
219,경기도 군포시 군포로 221 (부곡동),37.3330287,126.9251468
220,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",37.6323325,126.7107331
